Time,RawValue1,RawValue2
2769.611032482,432,5264
2769.612558709,400,5280
2769.614092307,416,5264
2769.615618127,432,5280
2769.617142743,432,5280
2769.618666785,416,5264
2769.620195771,432,5280
2769.621726739,416,5264
2769.623249726,432,5264
2769.624789787,416,5264
2769.626316977,448,5280
2769.627841871,432,5264
2769.629363265,432,5264
2769.630890159,416,5264
2769.63241883,448,5280
2769.633943039,416,5280
2769.635471211,416,5264
2769.636992734,432,5280
2769.638513462,416,5296
2769.640037893,416,5280
2769.641567268,416,5264
2769.643128884,400,5264
2769.644660926,416,5264
2769.646191635,416,5280
2769.647722011,416,5248
2769.64924883,432,5248
2769.650778521,416,5248
2769.652306155,400,5280
2769.653831401,448,5248
2769.655358036,416,5248
2769.65688767,400,5264
2769.658412694,400,5248
2769.659942718,400,5264
2769.66146763,416,5248
2769.662994894,400,5232
2769.664521066,400,5264
2769.666050701,416,5264
2769.667583206,432,5264
2769.669108933,400,5248
2769.670639864,416,5248
2769.672173147,400,5264
2769.673697078,416,5232
2769.675220768,384,5248
2769.676747829,448,5248
2769.678277241,416,5280
2769.679806117,416,5264
2769.681332511,416,5248
2769.682857404,400,5264
2769.684384872,400,5248
2769.685906155,416,5264
2769.687428827,384,5248
2769.688962906,400,5248
2769.690488522,400,5232
2769.692020027,384,5232
2769.693550255,400,5264
2769.695071111,432,5280
2769.696596487,432,5264
2769.698123992,416,5280
2769.69966009,416,5280
2769.701187317,432,5280
2769.702708655,432,5280
2769.704233845,416,5296
2769.705761888,416,5280
2769.707286596,416,5264
2769.708815175,416,5264
2769.710342551,416,5280
2769.711867815,416,5264
2769.713400691,432,5280
2769.714927251,448,5280
2769.716460275,416,5248
2769.717985872,448,5264
2769.719530618,448,5264
2769.721059846,400,5264
2769.722588665,416,5280
2769.724113911,432,5280
2769.725639713,416,5264
2769.727164032,400,5280
2769.728688889,432,5264
2769.730218542,416,5280
2769.731747807,400,5296
2769.733277756,432,5264
2769.734805835,416,5280
2769.736332174,432,5280
2769.737883012,416,5312
2769.739424277,432,5280
2769.740952485,432,5264
2769.742476564,432,5280
2769.744017847,432,5280
2769.745546741,416,5280
2769.747073265,448,5280
2769.748601659,416,5248
2769.750126608,432,5232
2769.75165365,416,5296
2769.753197415,400,5264
2769.754734401,368,5248
2769.756257017,400,5264
2769.757788226,400,5232
2769.759312842,400,5264
2769.760836755,384,5296
2769.762366575,368,5248
2769.763892154,432,5248
2769.765421918,400,5248
2769.766950405,384,5232
2769.768486465,400,5248
2769.770013155,384,5264
2769.771536883,416,5248
2769.773066314,416,5248
2769.774593541,400,5264
2769.776145639,416,5280
2769.777672496,400,5248
2769.779194797,400,5248
2769.780723709,368,5248
2769.782250863,416,5248
2769.783775312,416,5264
2769.785305132,384,5248
2769.786839341,416,5280
2769.78836642,400,5264
2769.789894295,416,5264
2769.791420097,400,5248
2769.792944231,384,5232
2769.794468607,432,5264
2769.795995575,416,5264
2769.797534765,416,5248
2769.799100289,432,5280
2769.800630849,416,5280
2769.802156669,416,5280
2769.803682767,416,5280
2769.80520792,416,5280
2769.806739092,416,5264
