Time,Data1,Data2
9.143846,0.0,0.0
9.163999,0.0,0.0
9.184221,0.0,0.0
9.204384,0.0,0.0
9.224551,0.0,0.0
9.244879,0.0,0.0
9.265032,0.0,0.0
9.285217,0.0,0.0
9.305374,0.0,0.0
9.325533,0.0,0.0
9.345925,0.0,0.0
9.36607,0.0,0.0
9.386408,0.0,0.0
9.406553,0.0,0.0
9.42682,0.0,0.0
9.447146,0.0,0.0
9.467302,0.0,0.0
9.487642,0.0,0.0
9.507714,0.0,0.0
9.527959,0.0,0.0
9.548275,0.0,0.0
9.568528,0.0,0.0
9.588721,0.0,0.0
9.608882,0.0,0.0
9.629037,0.0,0.0
9.649485,0.0,0.0
9.669633,0.0,0.0
9.689921,0.0,0.0
9.710069,0.0,0.0
9.730241,0.0,0.0
9.750585,0.0,0.0
9.770839,0.0,0.0
9.791191,0.0,0.0
9.811276,0.0,0.0
9.831418,0.0,0.0
9.851733,0.0,0.0
9.871999,0.0,0.0
9.892169,0.0,0.0
9.912327,0.0,0.0
9.932483,0.0,0.0
9.952876,0.0,0.0
9.973026,0.0,0.0
9.993305,0.0,0.0
10.01346,0.0,0.0
10.033711,0.0,0.0
10.054021,0.0,0.0
10.074271,0.0,0.0
10.094615,0.0,0.0
10.114715,0.0,0.0
10.134932,0.0,0.0
10.155255,0.0,0.0
10.175511,0.0,0.0
10.195658,0.0,0.0
10.215931,0.0,0.0
10.23612,0.0,0.0
10.256561,0.0,0.0
10.276741,0.0,0.0
10.297122,0.0,0.0
10.317284,0.0,0.0
10.337558,0.0,0.0
10.357882,0.0,0.0
10.378167,0.0,0.0
10.398534,0.0,0.0
10.418624,0.0,0.0
10.438947,0.0,0.0
10.459291,0.0,0.0
10.479593,0.0,0.0
10.499786,0.0,0.0
10.520047,0.0,0.0
10.540204,0.0,0.0
10.560643,0.0,0.0
10.580806,0.0,0.0
10.601141,0.0,0.0
10.621333,0.0,0.0
10.641658,0.0,0.0
10.661993,0.0,0.0
10.682241,0.0,0.0
10.702595,0.0,0.0
10.722747,0.0,0.0
10.742918,0.0,0.0
10.763258,0.0,0.0
10.78344,0.0,0.0
10.803635,0.0,0.0
10.823919,0.0,0.0
10.844082,0.0,0.0
10.864526,0.0,0.0
10.884689,0.0,0.0
10.90496,0.0,0.0
10.925105,0.0,0.0
10.94536,0.0,0.0
10.965678,0.0,0.0
10.985941,0.0,0.0
11.006137,0.0,0.0
11.026282,0.0,0.0
11.046431,0.0,0.0
11.066735,0.0,0.0
11.086893,0.0,0.0
11.107085,0.0,0.0
11.127342,0.0,0.0
11.147504,0.0,0.0
11.167827,0.0,0.0
11.187986,0.0,0.0
11.208361,0.0,0.0
11.228534,0.0,0.0
11.248791,0.0,0.0
11.269126,0.0,0.0
11.289408,0.0,0.0
11.309594,0.0,0.0
11.329873,0.0,0.0
11.350037,0.0,0.0
11.370353,0.0,0.0
11.390546,0.0,0.0
11.410725,0.0,0.0
